COD FACT,NUM FACT,FECHA FACT,ID CLIENTE,CLIENTE,NIF CLIENTE,CUENTA PGC.,REF ORIG.,BASE,%R.E,R.E,IRPF,%IVA,IVA,IMPORTE,ES ABONO,SUBCUENTA,RAZON SOCIAL,CP,LIMITE ACTIVO,NO PERMITIR RECIBOS CON FACTURAS VENCIDAS DE MAS DE,DOCUM.PAGO,TIPO PAGO,DELEGACION
470501,20-18761-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,16.72, ,0,0, ,3.51,20.23,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,16.72,0,0,,21,3.51,,,,,,,,,,
470500,20-18760-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,43.11, ,0,0, ,9.05,52.16,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,43.11,0,0,,21,9.05,,,,,,,,,,
470499,20-18759-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,39.34, ,0,0, ,8.26,47.6,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,39.34,0,0,,21,8.26,,,,,,,,,,
470498,20-18758-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,34.28, ,0,0, ,7.2,41.48,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,34.28,0,0,,21,7.2,,,,,,,,,,
470497,20-18757-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,13.09, ,0,0, ,2.75,15.84,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,13.09,0,0,,21,2.75,,,,,,,,,,
470496,20-18756-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,22.04, ,0,0, ,4.63,26.67,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,22.04,0,0,,21,4.63,,,,,,,,,,
471780,20-1111-A1,3/5/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,-9.85, ,0,0, ,-2.07,-11.91,1,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,-9.85,0,0,,21,-2.07,,,,,,,,,,
474527,20-1294-A1,3/17/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,-35.30, ,0,0, ,-7.41,-42.72,1,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,-35.30,0,0,,21,-7.41,,,,,,,,,,
475190,20-1345-A1,3/20/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,-31.72, ,0,0, ,-6.66,-38.38,1,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,-31.72,0,0,,21,-6.66,,,,,,,,,,
475969,20-1376-A1,3/24/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,-40.37, ,0,0, ,-8.48,-48.85,1,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,-40.37,0,0,,21,-8.48,,,,,,,,,,
476122,20-1381-A1,3/25/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,-13.69, ,0,0, ,-2.87,-16.56,1,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,-13.69,0,0,,21,-2.87,,,,,,,,,,
